iter	Passed	Remaining
0	0	61
1	1	71
2	2	78
3	3	72
4	3	73
5	4	74
6	5	74
7	6	75
8	7	75
9	8	74
10	9	73
11	9	72
12	10	71
13	11	69
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	16	60
22	17	59
23	18	57
24	18	56
25	19	55
26	20	54
27	20	52
28	21	51
29	21	50
30	22	49
31	23	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	35
48	32	34
49	33	33
50	34	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
